Formula,Stearic_Acid_%,Beeswax_%,Liquid_Paraffin_%,Lanolin_%,Triethanolamine_%,Sorbitol_%,Disodium_EDTA_%,Methylparaben_%,Propylene_Glycol_%,Propylparaben_%,Tween_80_%,Water_%,Perfume_%,Viscosity_cps,pH,Spreadability_cm,Washability_sec,HLB,Stability,Data_Source,Evidence_DOI
F0001,12.837,2.7508,23.8401,2.7508,1.8339,1.8339,1.8339,0.0367,3.6677,0.0183,1.8339,45.8463,0.9169,2670,6.1,9,10,11.76,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0002,14.9449,0.9341,22.4173,2.8022,1.8681,1.8681,1.8681,0.0374,3.7362,0.0187,1.8681,46.7028,0.9341,2639,5.8,9.2,10,12.06,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0003,11.422,2.8555,22.8441,2.8555,1.9037,1.9037,1.9037,0.0381,3.8073,0.019,1.9037,47.5919,0.9518,2235,6.3,8.6,7,11.67,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0004,14.5375,1.8172,23.6235,2.7258,1.8172,1.8172,1.8172,0.0363,3.6344,0.0182,1.8172,45.4298,0.9086,2790,5.9,8.6,11,11.94,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0005,15.2294,0.9518,20.9404,2.8555,1.9037,1.9037,1.9037,0.0381,3.8073,0.019,1.9037,47.5919,0.9518,2570,5.9,8.5,9,12.13,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0006,13.2001,1.8857,22.6287,2.8286,1.8857,1.8857,1.8857,0.0377,3.7715,0.0189,1.8857,47.1431,0.9429,2567,6.3,8.9,9,11.87,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0007,11.3144,1.8857,24.5144,2.8286,1.8857,1.8857,1.8857,0.0377,3.7715,0.0189,1.8857,47.1431,0.9429,2368,6.4,8.6,8,11.68,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0008,13.3257,2.8555,20.9404,2.8555,1.9037,1.9037,1.9037,0.0381,3.8073,0.019,1.9037,47.5919,0.9518,2510,6.2,8.4,9,11.87,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0009,13.5843,0.9703,21.3468,2.9109,1.9406,1.9406,1.9406,0.0388,3.8812,0.0194,1.9406,48.5154,0.9703,2459,6,8.3,8,12,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0010,14.6708,2.7508,22.0062,2.7508,1.8339,1.8339,1.8339,0.0367,3.6677,0.0183,1.8339,45.8463,0.9169,2839,6.5,9.1,12,11.94,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0011,11.7578,1.9596,21.5559,2.9394,1.9596,1.9596,1.9596,0.0392,3.9193,0.0196,1.9596,48.9908,0.9798,2205,5.7,8.2,7,11.79,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
F0012,11.422,0.9518,24.7478,2.8555,1.9037,1.9037,1.9037,0.0381,3.8073,0.019,1.9037,47.5919,0.9518,2540,5.9,8.5,9,11.74,Stable,Original Journal Data,10.55248/gengpi.4.1223.123318
