row_id,Ingredient_id,ingredient_name,formulation_dataset_column,grade,supplier_id,supplier,supplier_location,halal_certification_body,price_per_g,currency,stock,lead_time_days,moq_gram,supplier_halal_certificate,evidence_doi,key
SRC-0001,ING-001,Water,water,Pharma,SUP-06,PT Agarindo Biological Company,Domestic - Jakarta,LPPOM MUI,6.5,IDR,available,3,500,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-001|SUP-06
SRC-0002,ING-001,Water,water,Pharma,SUP-04,PT Otsuka Indonesia,Domestic - Malang,LPPOM MUI,4.8,IDR,available,24,250,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-001|SUP-04
SRC-0003,ING-001,Water,water,Pharma,SUP-03,PT Ikapharmindo Putramas Tbk,Domestic - Jakarta,LPPOM MUI,6.6,IDR,available,4,1000,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-001|SUP-03
SRC-0004,ING-002,Disodium EDTA,disodium_edta,Cosmetic,SUP-02,PT Hosana Chemindo,Domestic - Bogor,LPPOM MUI,140,IDR,available,8,250,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-002|SUP-02
SRC-0005,ING-002,Disodium EDTA,disodium_edta,Cosmetic,SUP-05,BASF,Import - Germany,Halal Quality Control (HQC),85,IDR,available,17,500,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-002|SUP-05
SRC-0006,ING-002,Disodium EDTA,disodium_edta,Cosmetic,SUP-06,Akzonobel,Import - Netherlands,Halal Quality Control (HQC),140,IDR,available,3,500,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-002|SUP-06
SRC-0007,ING-002,Disodium EDTA,disodium_edta,Cosmetic,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,130,IDR,available,1,500,No,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-002|SUP-03
SRC-0008,ING-002,Disodium EDTA,disodium_edta,Cosmetic,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,120,IDR,available,9,25000,No,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-002|SUP-01
SRC-0009,ING-003,Glycerin,glycerin,Pharma,SUP-02,Ecogreen Oleochemicals,Domestic - Batam,LPPOM MUI,32.8,IDR,unavailable,34,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-003|SUP-02
SRC-0010,ING-003,Glycerin,glycerin,Pharma,SUP-05,Musim Mas Group,Domestic - Medan,LPPOM MUI,22.5,IDR,unavailable,43,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-003|SUP-05
SRC-0011,ING-003,Glycerin,glycerin,Pharma,SUP-03,PT SMART Tbk,Domestic - Jakarta,LPPOM MUI/BPJPH,47,IDR,available,5,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-003|SUP-03
SRC-0012,ING-003,Glycerin,glycerin,Pharma,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,27.9,IDR,available,9,5000,No,https://doi.org/10.3390/cosmetics7020043,ING-003|SUP-04
SRC-0013,ING-003,Glycerin,glycerin,Pharma,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,33.6,IDR,available,5,25000,No,https://doi.org/10.3390/cosmetics7020043,ING-003|SUP-01
SRC-0014,ING-004,Acrylic acid copolymer,acrylic_acid_copolymer,Cosmetic,SUP-03,Samyang KCI Corporation,Import - South Korea,KHA (Korea Halal Authority),495,IDR,available,7,5000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-004|SUP-03
SRC-0015,ING-004,Acrylic acid copolymer,acrylic_acid_copolymer,Cosmetic,SUP-02,"United-Guardian, Inc.",Import - United States,ISA (Islamic Services of America),525,IDR,available,5,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-004|SUP-02
SRC-0016,ING-004,Acrylic acid copolymer,acrylic_acid_copolymer,Cosmetic,SUP-05,Shandong Fine Chemical Co.,Import - China,,390,IDR,unavailable,58,250,No,https://doi.org/10.3390/cosmetics7020043,ING-004|SUP-05
SRC-0017,ING-004,Acrylic acid copolymer,acrylic_acid_copolymer,Cosmetic,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,475,IDR,available,5,5000,No,https://doi.org/10.3390/cosmetics7020043,ING-004|SUP-01
SRC-0018,ING-005,Propylene glycol,propylene_glycol,Pharma,SUP-01,The Dow Chemical Company,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),42.2,IDR,available,4,500,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-005|SUP-01
SRC-0019,ING-005,Propylene glycol,propylene_glycol,Pharma,SUP-05,Shandong Fine Chemical Group,Import - China,ARA Halal Certification SErvices Center,32.2,IDR,available,49,1000,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-005|SUP-05
SRC-0020,ING-005,Propylene glycol,propylene_glycol,Pharma,SUP-03,"Spectrum Laboratory Products, Inc.",Import - United States,IFANCA (Islamic Food and Nutrition Council of America),48.2,IDR,available,5,250,Yes,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-005|SUP-03
SRC-0021,ING-005,Propylene glycol,propylene_glycol,Pharma,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,41,IDR,available,8,5000,No,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-005|SUP-04
SRC-0022,ING-005,Propylene glycol,propylene_glycol,Pharma,SUP-06,PT Distribusi Farmasi Utama,Domestic - Semarang,,48.5,IDR,available,4,1000,No,https://doi.org/10.3390/cosmetics7020043 ; https://doi.org/10.55248/gengpi.4.1223.123318,ING-005|SUP-06
SRC-0023,ING-006,Aloe vera extract,aloe_vera_extract,Cosmetic,SUP-02,PT Aloe Bali Ind,Domestic - Bali,LPPOM MUI,305,IDR,available,3,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-006|SUP-02
SRC-0024,ING-006,Aloe vera extract,aloe_vera_extract,Cosmetic,SUP-05,PT Merpati Mahardika,Domestic - Jakarta,LPPOM MUI,240,IDR,unavailable,41,250,Yes,https://doi.org/10.3390/cosmetics7020043,ING-006|SUP-05
SRC-0025,ING-006,Aloe vera extract,aloe_vera_extract,Cosmetic,SUP-06,Aloecorp Inc.,Import - United States,ISA (Islamic Services of America),280,IDR,available,3,25000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-006|SUP-06
SRC-0026,ING-006,Aloe vera extract,aloe_vera_extract,Cosmetic,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,235,IDR,available,28,1000,No,https://doi.org/10.3390/cosmetics7020043,ING-006|SUP-04
SRC-0027,ING-006,Aloe vera extract,aloe_vera_extract,Cosmetic,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,270,IDR,available,2,250,No,https://doi.org/10.3390/cosmetics7020043,ING-006|SUP-01
SRC-0028,ING-007,Carbopol ETD 2020,carbopol_etd_2020,Cosmetic,SUP-06,The Lubrizol Corporation,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),945,IDR,available,3,25000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-007|SUP-06
SRC-0029,ING-007,Carbopol ETD 2020,carbopol_etd_2020,Cosmetic,SUP-03,"Guangzhou Reachin Chemical Co., Ltd.",Import - China,ARA Halal Certification Services Center,935,IDR,available,4,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-007|SUP-03
SRC-0030,ING-007,Carbopol ETD 2020,carbopol_etd_2020,Cosmetic,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,760,IDR,available,23,5000,No,https://doi.org/10.3390/cosmetics7020043,ING-007|SUP-04
SRC-0031,ING-008,Mineral oil,mineral_oil,Pharma,SUP-04,Sonneborn LLC,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),35.4,IDR,unavailable,37,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-008|SUP-04
